Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,month,functioning_day_numeric,Holiday_numeric,Visibility Bin,Visibility Sub Bin,Combined Visibility Bin,Wind Speed Bin
2017-12-01,254,0,-1.5092149305831077,37,2.2,2000,-17.6,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.8, 2.2]"
2017-12-01,204,1,-1.5335239133459486,38,0.8,2000,-17.6,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(0.6, 0.9]"
2017-12-01,173,2,-1.5740388846173503,39,1.0,2000,-17.7,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(0.9, 1.1]"
2017-12-01,107,3,-1.590244873125911,40,0.9,2000,-17.6,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(0.6, 0.9]"
2017-12-01,78,4,-1.5740388846173503,36,1.4,2000,-18.6,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.3, 1.6]"
2017-12-01,100,5,-1.6064508616344715,37,1.5,2000,-18.7,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.3, 1.6]"
2017-12-01,181,6,-1.646965832905873,35,1.3,2000,-19.5,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.1, 1.3]"
2017-12-01,460,7,-1.6874808041772744,38,0.9,2000,-19.3,-0.6625120829530163,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(0.6, 0.9]"
2017-12-01,930,8,-1.6145538558887518,37,1.1,2000,-19.8,-0.6512270629597487,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(0.9, 1.1]"
2017-12-01,490,9,-1.6145538558887518,27,0.5,1928,-22.4,-0.40295662310786234,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(-0.001, 0.6]"
2017-12-01,339,10,-1.3714640282603425,24,1.2,1996,-21.2,0.07101421660937544,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.1, 1.3]"
2017-12-01,360,11,-1.1283742006319333,21,1.3,1936,-20.2,0.39827979641413475,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1908 - 1989,,1908 - 1989,"(1.1, 1.3]"
2017-12-01,449,12,-0.9501083270377665,23,1.4,2000,-17.2,0.5901251362996836,0.0,0.0,Winter,No Holiday,Yes,12,1,0,1989 - 2000,1990 - 2000,1990 - 2000,"(1.3, 1.6]"
