Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,연도,월,일,요일,Visibility Category,Rainfall Category,Snowfall Category,Wind Speed Category,Temperature(°C)_std,Solar Radiation (MJ/m2)_std
1492,16,0.3017738343026642,42.0,1.3,1976,5.0,0.7555657564562213,0.0,0.0,Autumn,No Holiday,Yes,2018,10,24,Wednesday,1668-2000,0,Low Snowfall,1.00 - 1.60,0.30177383430266413,0.7555657564562213
1536,14,0.8332853150619366,64.0,2.8,520,15.8,1.187660422598134,0.0,0.0,Spring,Holiday,Yes,2018,5,1,Tuesday,0-925,0,Low Snowfall,2.20 - 7.30,0.8332853150619365,1.187660422598134
327,2,-0.5619323219311537,59.0,0.6,1584,-1.2,-0.6691788183900854,0.0,0.0,Autumn,No Holiday,Yes,2018,11,14,Wednesday,925-1668,0,Low Snowfall,0.20 - 1.00,-0.5619323219311538,-0.6691788183900854
170,4,0.8498950488356638,83.0,1.6,1102,20.1,-0.6691788183900854,0.0,0.0,Summer,No Holiday,Yes,2018,8,31,Friday,925-1668,0,Low Snowfall,1.00 - 1.60,0.8498950488356637,-0.6691788183900854
45,5,0.8914193832699819,64.0,0.9,876,16.4,-0.6691788183900854,0.1,0.0,Summer,No Holiday,Yes,2018,6,26,Tuesday,0-925,Non-0,Low Snowfall,0.20 - 1.00,0.8914193832699818,-0.6691788183900854
1127,22,1.3149675945000274,79.0,0.2,1604,24.7,-0.6691788183900854,0.0,0.0,Summer,No Holiday,Yes,2018,8,12,Sunday,925-1668,0,Low Snowfall,,1.3149675945000274,-0.6691788183900854
941,11,1.3564919289343453,60.0,2.3,1861,21.3,2.3788403130434066,0.0,0.0,Summer,No Holiday,Yes,2018,7,4,Wednesday,1668-2000,0,Low Snowfall,2.20 - 7.30,1.3564919289343453,2.3788403130434066
255,4,0.6754928442115277,62.0,1.8,2000,13.5,-0.6691788183900854,0.0,0.0,Autumn,No Holiday,Yes,2018,9,2,Sunday,2000 이상,0,Low Snowfall,1.60 - 2.20,0.6754928442115276,-0.6691788183900854
332,2,0.5841393084560276,59.0,1.5,2000,11.7,-0.6691788183900854,0.0,0.0,Autumn,No Holiday,Yes,2018,9,10,Monday,2000 이상,0,Low Snowfall,1.00 - 1.60,0.5841393084560275,-0.6691788183900854
2202,8,-0.3127863153252448,68.0,0.2,952,3.5,-0.3421882602286379,0.0,0.0,Autumn,No Holiday,Yes,2018,10,17,Wednesday,925-1668,0,Low Snowfall,,-0.31278631532524487,-0.34218826022863796
374,10,-0.7778588609896082,37.0,1.630300967844736,2000,-9.7,0.3001146218742052,0.0,0.0,Spring,No Holiday,Yes,2018,3,21,Wednesday,2000 이상,0,Low Snowfall,1.60 - 2.20,-0.7778588609896083,0.3001146218742051
1390,7,-0.0055062405112904465,61.0,1.3,1818,5.1,-0.17869298114791426,0.0,0.0,Spring,No Holiday,Yes,2018,5,24,Thursday,1668-2000,0,Low Snowfall,1.00 - 1.60,-0.005506240511290525,-0.1786929811479143
396,12,-0.6200663901391992,25.0,3.1,1652,-13.0,1.9934585837817007,0.0,0.0,Winter,No Holiday,Yes,2018,2,25,Sunday,925-1668,0,Low Snowfall,2.20 - 7.30,-0.6200663901391993,1.9934585837817007
2692,18,0.3349933018501186,28.0,3.1,2000,-1.6,0.35850579297446367,0.0,0.0,Spring,No Holiday,Yes,2018,4,16,Monday,2000 이상,0,Low Snowfall,2.20 - 7.30,0.33499330185011855,0.3585057929744636
